blinded_item_id,source_evidence_id,public_evidence_text,parent_context,context_available,length_bucket,sampling_stratum,is_retest,retest_group_id
CAL_0001,BILI_0103_U01,问题是什么，海克斯大乱斗本身他就不公平，举个例子你拿了45678顺子，碰瓷对面王炸可能吗，这不是一次性的，人家是一直出王炸，你只能出顺子，不投等着受窝囊吗,问题是什么，海克斯大乱斗本身他就不公平，举个例子你拿了45678顺子，碰瓷对面王炸可能吗，这不是一次性的，人家是一直出王炸，你只能出顺子，不投等着受窝囊吗？,yes,long,S001,false,
CAL_0002,BILI_0084_U01,去看看炉石传说，通行证人家可以4个英雄选一个，没花钱只能2选1,去看看炉石传说，通行证人家可以4个英雄选一个，没花钱只能2选1。这种逆天的破坏平衡方式都不影响游戏。游戏里面拼的还是技术和运气，赢不赢和你的通行证没关系，只能说提升一下游戏体验,yes,medium,S002,false,RT_CAL_0002
CAL_0003,NGA_0003_U05,出辅助装在那混着，还有人会点你？输了也是不粘锅。,真给我典飞了，没毛病你就是那种一眼玩丢子玩的。阵容摇出来，队伍拿完两个前排+两个丢子，你拿个唯一能出物理伤害的然后进去出ap还没问题。你真觉得五丢比没前排好赢？米利欧出ap还没问题，就一个技能火爆飞踢，你还不如去玩ap卢锡安。出辅助装在那混着，还有人会点你？输了也是不粘锅。非得当畜打起来少个人，q中伤害就那么点，q不中就ob。说到底喜欢丢子就是决定不了胜负的，要混还不如混到底。还有转型的，真闹麻了。一般对局也就四五件就结束了，还三件套转型。你从头出ad三件套差不多就该接管比赛了，三件套出完火炬面具穿透，再去补无尽攻速？出了法穿还能不能出大穿我也不知道，这问题太小众了。,yes,medium,S003,false,
CAL_0004,NGA_0044_U01,我感觉这把如果持续下去，我最起码能杀七八十个，这局就15分钟我杀了51个。,我感觉这把如果持续下去，我最起码能杀七八十个，这局就15分钟我杀了51个。然后，怕后期对面装备起来了，我的装备没优势了，打不过，我就赶紧推了。如果一直拖到个20多分钟、25分钟。感觉我能杀更多，但这样子估计就不好赢。,yes,medium,S004,false,
CAL_0005,TIEBA_0103_U01,如果真有物转法加法爆其实问题不大,如果真有物转法加法爆其实问题不大，小鱼人q是有ad伤害的，所有属性包括物穿都能吃到，只不过别人看的不舒服再加上玩的唐，而且还有更好的装备可选，比如暴击书补暴击和cd,yes,medium,S005,false,
CAL_0006,TIEBA_0033_U01,人家抗伤和回血也高，评分比你高很正常,人家抗伤和回血也高，评分比你高很正常,yes,medium,S006,false,
CAL_0007,TIEBA_0099_U02,30%易伤buff还不如玻璃炮,这个拉爆了 30%易伤buff还不如玻璃炮,yes,short,S007,false,
CAL_0008,BILI_0003_U01,还有，有人说不能搞出坦克版本，因为无法反制，然而这就是个错误的命题，坦克版本从来不存在，哪怕是之前的版本，坦克绝大部分时候也只是承担一个控制加承伤的作用，依然是ad和法师在打伤害，只是因为坦克能抗更久，可玩性增强，导致玩的人变多，实际上那个版本反而是每个位置都能玩的版本,还有，有人说不能搞出坦克版本，因为无法反制，然而这就是个错误的命题，坦克版本从来不存在，哪怕是之前的版本，坦克绝大部分时候也只是承担一个控制加承伤的作用，依然是ad和法师在打伤害，只是因为坦克能抗更久，可玩性增强，导致玩的人变多，实际上那个版本反而是每个位置都能玩的版本,yes,long,S008,false,
CAL_0009,BILI_0013_U15,你设计师不是喜欢搞镜像产物吗,重伤装备现状，我感觉与其怪队友，不如狠狠骂设计师，分明就是设计师不想让大家随意去出。反甲，属性和价格还算不错。但覆盖率就是恶心人，被打能触发肯定是对的，毕竟坦克不容易摸到对面后排。但对面都贴我脸上半天了，凭什么只要他不碰我，就不会被挂重伤？这不恶心人吗？鬼书，看一次想骂一次的装备。按理说法师通常是大范围aoe，是挂重伤的最佳人选。但鬼书2850的价格不算低了，结果要法强没法强，要cd没cd，本身也不提供蓝量。除非我玩的工具人法师，不然玩正常法师，出一次鬼书就要把设计师全家问候一遍。链锯剑，价格属性中规中矩。但战士对装备效果要求挺高，而重伤效果占模严重，重伤装备只有重伤效果。出是能出，但也是捏着鼻子的出。矛盾最尖锐的绿穿和红穿。是，暴击adc几乎都该出绿穿而不是红穿。但凭什么？红穿存在的意义在哪？一个主打为团队牺牲，一个主打输出特化，为什么结果会出现一边倒的情况呢？因为重伤装备垃圾，所以暴击adc要放弃输出特化去为团队牺牲，而红穿的输出特化数值低，收益不够高。在暴击adc通常为团队大核的情况下，这是一件极其反常识的事，是设计师恶心玩家的产物。最后，凭什么重伤装备就这4件？你设计师不是喜欢搞镜像产物吗？怎么有物理版本反甲，却没有魔抗版本反甲？恶心坦克玩家吗？为什么没有带穿甲的重伤装备？逼刺客玩家去选择链锯剑，恶心刺客玩家吗？为什么没有攻速流adc的重伤装备？绿穿红穿都能设计两件，给攻速流英雄设计一件很难吗？总结，队友不出重伤是设计师不想让玩家随意覆盖重伤，重伤就是设计师的跌麻，设计师看见自己跌麻被玩家把玩就急眼，仅此而已。,yes,short,S009,false,
CAL_0010,BILI_0029_U09,总感觉设计师像换人了一样，上版本经济符文保守，这版本直接走向了另一个极端，小蛋糕这种前两个来就是假卡级别的，或者可以考虑进一步削弱金币获取，强调它的治疗效果，敌方只有减速，没有治疗，这样可以作为坦克或者软辅的备选符文，增加这两位置的功能性和经济补充,现在版本我个人认为最大的问题就是：1.局外养成影响局内游戏，这是MOBA游戏大忌。2.羁绊系统的崩坏，其实是调整弱符文的好工具，弱符文的羁绊就应该是0.5+0.5=2的效果，强符文就是1+1=1的效果，比如你是选择拿一个单个效果的垃圾符文，赌强力的羁绊，还是选择保底，选择当个强力的符文，但是羁绊就很一般。这样对于单次没拿到强力符文的玩家，也是种补偿机制。3.经济系符文和羁绊的数值，经济的优势，是一种无法反制的优势，同时先发永远赢后发，其他符文你还有可能用操作，针对出装来反制，但是经济类不行，数值还要调整。4.还是经济类符文，过于强势且适用性广，挤占了其他符文的选择空间，整局游戏大家都在找经济类符文，海克斯大乱斗变成了极地乱斗极速版。5.坦克位的生存环境恶劣，坦克作为游戏内经济最低的位置，经济类符文的泛滥，心之钢的削弱，导致坦克选出来就成了一个混子，大家就都不太愿意玩坦克了，又成为了丢子大乱斗。总感觉设计师像换人了一样，上版本经济符文保守，这版本直接走向了另一个极端，小蛋糕这种前两个来就是假卡级别的，或者可以考虑进一步削弱金币获取，强调它的治疗效果，敌方只有减速，没有治疗，这样可以作为坦克或者软辅的备选符文，增加这两位置的功能性和经济补充。最后个人要求，能不能删了你那开局锻造器，300你都删了，又不删干净，删完了显得设计师会蠢，所以要保留一部分是吧。up说的总体上我是认可的，原本海克斯乱斗是比较平衡的，极少有天胡打不了的对局，大部分对局都是主要看思路和操作，如果对面坦克横行或者刺客横行，那大概率是因为你们阵容构成本来有问题，符文进一步放大了这个问题，下把开局的时候，你会下意识的补。,yes,long,S010,false,
CAL_0011,NGA_0026_U03,一把队友剑魔，出门打了几波团剑魔一个人头没捞到，然后来了句人头你们都拿你们发育起来你们c然后就在后面玩泥巴，不打架不挂机，就挂在后面吃经验吃血包，恶心死我了。,昨天有四把脑溢血，一把是被对面当猪杀了最后人头比是十几比六十多，队友就是不投。一把队友抢我五杀，四杀之后对面满血来我面前送给我，然后有个队友就过来给我抢了，我技能放完在慢慢a妖姬过来就是一套丝滑连招给我抢了，然后还亮个表情。一把队友剑魔，出门打了几波团剑魔一个人头没捞到，然后来了句人头你们都拿你们发育起来你们c然后就在后面玩泥巴，不打架不挂机，就挂在后面吃经验吃血包，恶心死我了。最脑溢血的是第八连败，明明能赢的，对面先死一个，然后我们劣势打赢团了，杰斯四杀，我们这边就我死了，剩四个残血，推到基地还剩一半血对面最先死的复活了，然后杰斯带着剩下三个冲泉水要拿五杀，冷知识，一波团最先死的复活又被杀是不算五杀的然后四个人一起送了泉水，然后对面抱团推过来一波带走。最后赢的那把应该算是福利局，对面跟人机一样，一点反抗都没有八分多钟就点了。,yes,long,S011,false,
CAL_0012,TIEBA_0008_U03,五黑娱乐为主，打完了还在吵完全没必要吧。,不必多说，你的出装和打法肯定是有问题的。但是兔子洛蔚都能开团，你在后面放r放q，让他们开团其实也随便赢。五黑娱乐为主，打完了还在吵完全没必要吧。我一般单排就玩下等娱乐英雄混，和朋友开黑就玩强力英雄尽量赢。他们如果和你的交流是游戏层面的那就正常聊，如果你感觉到了游戏以外内容的恶意，那就没必要一起玩了。,yes,medium,S012,false,
CAL_0013,BILI_0092_U01,视频展现《英雄联盟》海克斯模式下的玩家互怼趣事,视频展现《英雄联盟》海克斯模式下的玩家互怼趣事。主角们疯狂吐槽“毒瘤”阵容：一人狂喜AP女枪“爽飞天”却误伤队友，另人笑称“双刀流吃红烧还是香辣？”双方争执间穿插经典梗——“光速融化弹”“积水秒脆皮”，生动还原电竞圈“嘴臭胜过操作”的欢乐窘态。海克斯玩家速逃！双刀流配香辣才够劲儿，本喵舔屏都能赢你两波~,yes,medium,S013,false,RT_CAL_0013
CAL_0014,BILI_0022_U01,昨天玩一把海克斯大乱斗，我们前期被对面吊打，我方卡牌点了投降，我们4个人都没点，然后卡牌心态崩了就开始挂机，结果卡牌挂机以后，对面就打不过我们了，我们4打5把对面打的节节败退，最后赢了,昨天玩一把海克斯大乱斗，我们前期被对面吊打，我方卡牌点了投降，我们4个人都没点，然后卡牌心态崩了就开始挂机，结果卡牌挂机以后，对面就打不过我们了，我们4打5把对面打的节节败退，最后赢了,yes,long,S014,false,
CAL_0015,BILI_0101_U01,普通大乱斗拍进去了队友问怎么这把选不了海克斯,普通大乱斗拍进去了队友问怎么这把选不了海克斯,yes,medium,S015,false,
CAL_0016,BILI_0053_U06,谁愿意牺牲自己体验保护队友发育,为什么我不爱玩大乱斗这个模式，就是因为这模式里面的人大部分段位低，只为了自己爽。谁管你厉害不厉害，能不能翻盘，人家不爽就点。要么就是你玩ad坦克不探草，没人保护你。一个一个玩的贼自私。而排位随着段位越高那种沟通和理解能力越来越高，才让我感受到那是一个团队游戏。如果一个游戏的玩家都是自私的，只为了自己爽的。那谁还玩ad，谁还玩辅助。谁愿意牺牲自己体验保护队友发育。谁会把队友当为队友,yes,short,S016,false,
CAL_0017,TIEBA_0004_U02,通常是莫甘娜，我新手目前英雄正在熟悉，怕坑，所以会选一些弱一点，但熟悉的英雄，为了避免伤害没打多少，还抗不了伤害，就会多出功能装,如果玩莫名其妙的丢子英雄，开局直接带重伤，避免零作用。通常是莫甘娜，我新手目前英雄正在熟悉，怕坑，所以会选一些弱一点，但熟悉的英雄，为了避免伤害没打多少，还抗不了伤害，就会多出功能装,yes,long,S017,false,
CAL_0018,TIEBA_0068_U01,查一下是不是新号,查一下是不是新号，是就应该是脚本号,yes,short,S018,false,
CAL_0019,TIEBA_0086_U01,对的，思路和游戏理解问题太严重了,对的，思路和游戏理解问题太严重了，主要还是他们对兵线已经对里少人的情况理解太少,yes,medium,S019,false,
CAL_0020,NGA_0017_U02,遇到坦克和笨b一点的战士就非常爽。,火男看阵容，遇到丢子和刺客时挺拉的。遇到坦克和笨b一点的战士就非常爽。我玩丢子的时候完全不怕火男，但是玩肉看到个火男就很烦,yes,medium,S004,false,
CAL_0021,BILI_0035_U01,我感觉最大的问题就是 它是大乱斗 你想玩一个套路你甚至得先赌自己这一把有没有玩这个套路的资格 在此基础的恶性体验最上限是一随到自己既不会玩+不知道适用什么套路的英雄+天谴海克斯 对局十分熟练完全知道怎么玩+知道适用套路+天胡海克斯 就会导致对局完全没有任何体验 但凡依旧大乱斗地图但是改成英雄自选都比现在好 至少能保证在天谴海克斯的情况下自己至少能发挥英雄本身的实力来应对对面 而不是完全没有任何可用操作,我感觉最大的问题就是 它是大乱斗 你想玩一个套路你甚至得先赌自己这一把有没有玩这个套路的资格 在此基础的恶性体验最上限是一随到自己既不会玩+不知道适用什么套路的英雄+天谴海克斯 对局十分熟练完全知道怎么玩+知道适用套路+天胡海克斯 就会导致对局完全没有任何体验 但凡依旧大乱斗地图但是改成英雄自选都比现在好 至少能保证在天谴海克斯的情况下自己至少能发挥英雄本身的实力来应对对面 而不是完全没有任何可用操作,yes,long,S020,false,RT_CAL_0021
CAL_0022,BILI_0066_U01,现在池子乱成这样你就玩吧 把把奥恩开局给我来升级无尽 纯恶心人 本来坦克就弱 debuff就多 还刷不到牌 纯恶心人,现在池子乱成这样你就玩吧 把把奥恩开局给我来升级无尽 纯恶心人 本来坦克就弱 debuff就多 还刷不到牌 纯恶心人,yes,long,S021,false,
CAL_0023,BILI_0008_U01,狂妄就是大乱斗刺客的底层代码，而移速更是刺客很重要的一个属性我不知道有什么理由不选升级狂妄，而且还给钱出门多一个散件,狂妄就是大乱斗刺客的底层代码，而移速更是刺客很重要的一个属性我不知道有什么理由不选升级狂妄，而且还给钱出门多一个散件,yes,long,S022,false,
CAL_0024,NGA_0029_U02,分高的唯一好处就是上票快 阵容是没啥区别的,400场55+ 600场剩52 现在800就剩51了 分高的唯一好处就是上票快 阵容是没啥区别的 当狗换来的是队友的研发 从此看开 一起当出生 不胡就点 这模式唯一的好处就是胜率队少 就算有也不当分奴 印象中撞过几次陪玩车 赢了两次 都是对面8分钟平推局不推给机会的 正常大乱斗打100把赢不了对面一把 当然也有挂车 举报过两个都是只封一天,yes,medium,S023,false,
CAL_0025,TIEBA_0044_U01,因为这是5v5游戏，真只顾着自己玩单机不好吗,因为这是5v5游戏，真只顾着自己玩单机不好吗，按你的说法，你让我不爽了我喷你你也得受着,yes,medium,S024,false,
CAL_0026,TIEBA_0002_U02,我好友列表都是0在线，算是知道不打的原因了,基本没什么游戏体验 elo不谈 正常局都没什么体验 基本都是瞎玩 我好友列表都是0在线，算是知道不打的原因了 这种moba游戏如果不是为了赢 我是不知道每天开一盘又一盘的原因是什么 累了，休息一个月再说,yes,medium,S025,false,
CAL_0027,TIEBA_0120_U01,没有对胜利的向往，只有对叠钢的渴望,没有对胜利的向往，只有对叠钢的渴望，从上线打到结束，没有一分钟是和平的，打完了我脑子里都是心之钢的声音,yes,medium,S019,false,
CAL_0028,BILI_0004_U01,我建议是：远程英雄从海克斯获取的移速和全能吸血都减半，所有叠层类海克斯远程阵亡时掉落更多层数，比如近战-65%远程-80%,我建议是：远程英雄从海克斯获取的移速和全能吸血都减半，所有叠层类海克斯远程阵亡时掉落更多层数，比如近战-65%远程-80%,yes,long,S026,false,
CAL_0029,NGA_0008_U01,现在怒气增长吃终极技能急速，残疫、钢壁甚至猎魔人都能增加怒气获取，但偏偏不吃技能急速，公理圆弧效果也不能直接涨一截怒气。,现在怒气增长吃终极技能急速，残疫、钢壁甚至猎魔人都能增加怒气获取，但偏偏不吃技能急速，公理圆弧效果也不能直接涨一截怒气。不清楚会不会吃全凭身法，但应该会吃“终极唤醒”和“和我一起困在这里”加的终极技能急速。但我觉得最胡的应该是三面包彩蛋了，直接250终极技能急速。,yes,long,S027,false,
CAL_0030,NGA_0099_U01,海斗榜前10里可是有4个ADC啊,海斗榜前10里可是有4个ADC啊 你要说胜率榜的话，前10也有俩，男枪还是第11，倒数20名里也就一个泽丽(为一板一眼泽丽默哀),yes,medium,S028,false,
CAL_0031,BILI_0037_U03,给我气的使劲喷这个炼金,遇到个10秒一个大的死歌，我玩的老鼠，活不过20秒，然后自己这边三个肉一个刺客，就我和刺客有输出，两个肉开黑的炼金和锤石一直不点，还嘲讽我们就是这样玩游戏的光点投降？人家死歌也不推，就一直在家放大，我复活20秒必死。给我气的使劲喷这个炼金,yes,short,S029,false,
CAL_0032,BILI_0007_U03,奈何我满嘴的国粹打字打不出来，气得我直接下了去玩单机游戏了，后来两个朋友上号了才一起打了三四把，可以随便互相嘴臭，心情好多了,确实，千万别一个人玩LOL，昨晚一把队友四个adc被人叼起来锤，然后开始发信号标记我装备，说我躲在后面干嘛，问题是，我是星妈啊！我要是一个人冲上去全解决了还要他们干嘛！说我不选前排要玩个屁用没有的星妈！奈何我满嘴的国粹打字打不出来，气得我直接下了去玩单机游戏了，后来两个朋友上号了才一起打了三四把，可以随便互相嘴臭，心情好多了。,yes,long,S030,false,
CAL_0033,TIEBA_0009_U02,事情经过是八分钟的时候，提莫十一级随机到尤里卡，接着过了两分钟后我也选到了尤里卡，加上我第一个海克斯是超凡邪恶，在我的大招时间小于复活时间后，帖主决定在家一直丢r，压提莫状态，等提莫死了再考虑往前推（后面会讲我是为什么这么想的），但是队友没有去守反而是一直在人少和状态不好的时候试图去开对面，结果也是输了。,首先是因为没带雪球先跟大家道个歉，如果带了雪球我就能过去和对面爆了。事情经过是八分钟的时候，提莫十一级随机到尤里卡，接着过了两分钟后我也选到了尤里卡，加上我第一个海克斯是超凡邪恶，在我的大招时间小于复活时间后，帖主决定在家一直丢r，压提莫状态，等提莫死了再考虑往前推（后面会讲我是为什么这么想的），但是队友没有去守反而是一直在人少和状态不好的时候试图去开对面，结果也是输了。11级随到尤里卡的时候有和朋友说有尤里卡也有超凡邪恶可以在家一直开大这个玩法（是五排的），但是输了后才指责我说这个玩法一把游戏全是错误，而且被说成有了尤里卡后就一直在挂机，但是那个时候大招cd还有九十多秒，并没有从那个时候就开始挂机。,yes,long,S031,false,
CAL_0034,TIEBA_0014_U02,把队友逼的为了防止3射手放弃莎弥拉，结果一个玩AP卡莎，一个被虐到超鬼直接挂机，,海斗在队友已经选出了莎弥拉的情况下，还能硬选两个射手？把队友逼的为了防止3射手放弃莎弥拉，结果一个玩AP卡莎，一个被虐到超鬼直接挂机，马服玩家对射手就真的执着吗？人人都梦想着自己是UZI，结果都是一群猪比，说到底马服玩家素质这么低，无团队概念，纯自我的废,yes,medium,S032,false,RT_CAL_0034
CAL_0035,BILI_0039_U01,最近我是真感觉池子被污染了，谁家剑圣、瘸子池子里有尤里卡、神射这种法师海克斯，我打了好几场的瘸子，全给法师海克斯，碎片一堆法穿法强，一点穿甲攻击不给,最近我是真感觉池子被污染了，谁家剑圣、瘸子池子里有尤里卡、神射这种法师海克斯，我打了好几场的瘸子，全给法师海克斯，碎片一堆法穿法强，一点穿甲攻击不给,yes,long,S033,false,
CAL_0036,TIEBA_0080_U01,玩兰博总给钢化你心，不知道为啥,玩兰博总给钢化你心，不知道为啥,yes,short,S034,false,
CAL_0037,TIEBA_0059_U03,到现在感觉装备栏不够，所以不出鞋子,基本上不出鞋，无论什么英雄，之前我都出鞋假装自己六神直接锻体，到现在感觉装备栏不够，所以不出鞋子,yes,medium,S019,false,
CAL_0038,TIEBA_0103_U03,只不过别人看的不舒服再加上玩的唐,如果真有物转法加法爆其实问题不大，小鱼人q是有ad伤害的，所有属性包括物穿都能吃到，只不过别人看的不舒服再加上玩的唐，而且还有更好的装备可选，比如暴击书补暴击和cd,yes,medium,S005,false,
CAL_0039,BILI_0108_U01,原因就是丢子适配的海克斯太多了,原因就是丢子适配的海克斯太多了。坦克来来回回就那么2个。遇到丢子哪怕赢了也是玩的恶心,yes,short,S035,false,
CAL_0040,BILI_0038_U01,总场数600多盘但是我现在已经不想玩了，一坨大便的平衡性，强化越来越非人类，坦克得不到经济补充后排装备起得比前排快，路人局普遍不想玩前排整一盘阵容畸形到不得了还有那鬼一样的海克斯池子，你就玩吧,总场数600多盘但是我现在已经不想玩了，一坨大便的平衡性，强化越来越非人类，坦克得不到经济补充后排装备起得比前排快，路人局普遍不想玩前排整一盘阵容畸形到不得了还有那鬼一样的海克斯池子，你就玩吧,yes,long,S036,false,
CAL_0041,TIEBA_0015_U03,于是我就想着科研一下，先用亮剑减攻击距离，然后16级提升到625。,海斗玩了把天使，第二个彩遇到了亮剑。这个时候我看了眼天使被动技能“16级:将你的攻击距离提升至625。”于是我就想着科研一下，先用亮剑减攻击距离，然后16级提升到625。结果诗山代码根本不支持我这个选择，到了16级估计距离一点没变，最恶心的是我一看破败怎么又变成了远程收益，从9%当前生命值减到了6%。好好好，亮剑变成近战你16级又给我变回去了。那我问你我失去的攻击距离谁给我补啊,yes,medium,S005,false,
CAL_0042,TIEBA_0082_U01,珠光无尽给琴女都能qa秒人了,珠光无尽给琴女都能qa秒人了,yes,short,S037,false,
CAL_0043,BILI_0064_U01,升级狂妄就是所有战士刺客保三争二一的海克斯,升级狂妄就是所有战士刺客保三争二一的海克斯,yes,medium,S038,false,
CAL_0044,BILI_0098_U01,AP女枪是对面四个以上丢子无脑选的，不用看符文，这把对面五个丢子，第一个符文不管啥都直接做AP就对了,AP女枪是对面四个以上丢子无脑选的，不用看符文，这把对面五个丢子，第一个符文不管啥都直接做AP就对了。,yes,long,S039,false,
CAL_0045,NGA_0035_U01,看了眼自己战绩，感觉自己拿到飞机不说把c也是把爽杀，我感觉玩飞机就一个理念问题，你W怎么交？,看了眼自己战绩，感觉自己拿到飞机不说把c也是把爽杀，我感觉玩飞机就一个理念问题，你W怎么交？我是主E副W的加点法，Q又慢伤害不高，我是拿来当耀光触发器的，W从来都是要么横着交被揍的队友方向拦人，要么雪球中对面的人后确定对面控制手没盯着直接开E二段雪球再W向后排或者人最多的位置。 装备第一件除非对面肉、回血怪大于2，必定是收集者，没几个AD有E和W这种每秒多段判定伤害的办法了，这就是和对面AD对撸的底气，收集者秒判定秒杀太强了。另外就是升级无尽了那首选肯定无尽啊。 第二件先跟着挂一件耀光，彩局做大穿，金局做无尽，对面有回血怪就再挂个800减治疗再出别的。 第三件肯定是大穿/无尽，除非对面太肉无尽换破败之类的。 之后暴击不满补c44，暴击满了按需求补防装/饮血。 要说后面不好赢也是真的，杀太多了啊都会被针对 比如输的那局，对面尤里卡提莫，我被单防了,yes,long,S040,false,
CAL_0046,TIEBA_0010_U01,至于为什么大招时间小于复活时间后再开始挂，不出来和对面换血叠超凡邪恶，其实也是因为忘记换雪球了,至于为什么大招时间小于复活时间后再开始挂，不出来和对面换血叠超凡邪恶，其实也是因为忘记换雪球了，然后想了一下，觉得出来死了只有五秒的被动清半波线，收益不如再等一波大消耗对面血量，当时的法强已经1100了，cd是400，在挂着之前是正常的上去换血和清兵的,yes,long,S041,false,
CAL_0047,BILI_0094_U01,标题：海克斯乱斗心理学之为什么你的队友不出重伤,标题：海克斯乱斗心理学之为什么你的队友不出重伤；简介：AI...它真的....太好用了,yes,medium,S042,false,
CAL_0048,NGA_0056_U02,说白了，我就膈应心之钢，理由就跟很多玩家膈应亚索和提莫一样，刻板印象。,如果所有法师，算上辅助和射手都算丢子的话，我确实玩不腻，我还就不爱玩战士和坦，顶多玩个宝石、布隆、贝蕾亚，实在没好英雄了捏鼻子选阿木木或者泰坦，其他免谈。说白了，我就膈应心之钢，理由就跟很多玩家膈应亚索和提莫一样，刻板印象。,yes,medium,S043,false,
CAL_0049,TIEBA_0021_U02,好不容易混到18次参与击杀,选出来先让对方一个彩，前期打架直接劣势，好不容易混到18次参与击杀，结果好多属性是利用不上的，还有一堆debuff，占格子导致后期卖了也亏不卖也没赚多少,yes,short,S044,false,
CAL_0050,NGA_0076_U02,改版之后第一把完全不知道,啊，原来钢壁能增加怒气获取吗 改版之后第一把完全不知道,yes,short,S045,false,
CAL_0051,BILI_0010_U01,我认为法师的鬼书性价比是几个重伤里面最低的,我认为法师的鬼书性价比是几个重伤里面最低的。最超模的当属凡性。现在ADC打肉无非就是出轻语+破败，但如果对面同时有肉+强回复，还可以凡性+破败，既能克制回复，又有一定打肉能力，属性也不亏。法师的装备大部分就是垃圾，以前辅助的炼金科技纯化器还在的时候，如果对面有回复，我压根不出鬼书，直接出这个。,yes,medium,S046,false,RT_CAL_0051
CAL_0052,NGA_0082_U03,现在得加点羁绊了,以前很爽 现在不如大法师羁绊或者双叠甲龙循环往复 现在得加点羁绊了,yes,short,S047,false,
CAL_0053,TIEBA_0002_U04,累了，休息一个月再说,基本没什么游戏体验 elo不谈 正常局都没什么体验 基本都是瞎玩 我好友列表都是0在线，算是知道不打的原因了 这种moba游戏如果不是为了赢 我是不知道每天开一盘又一盘的原因是什么 累了，休息一个月再说,yes,short,S034,false,
